ds,n_subj,n_bold
ds000001,16,48
ds000002,17,102
ds000003,13,13
ds000005,16,48
ds000006,14,164
ds000007,20,120
ds000008,14,80
ds000009,24,144
ds000011,14,84
ds000017,8,74
ds000030,272,2004
ds000031,1,59
ds000051,13,102
ds000052,13,52
ds000053,59,472
ds000101,21,42
ds000102,26,52
ds000105,6,71
ds000107,49,98
ds000108,34,204
ds000109,36,69
ds000110,18,180
ds000114,10,100
ds000115,99,297
ds000116,17,102
ds000119,73,283
ds000120,26,70
ds000121,28,106
ds000133,26,156
ds000140,33,297
ds000148,49,147
ds000157,30,30
ds000158,217,217
ds000164,28,28
ds000168,35,35
ds000170,15,179
ds000171,39,195
ds000172,13,13
ds000200,14,14
ds000205,11,33
ds000208,76,76
ds000210,31,155
ds000212,39,372
ds000213,26,26
ds000214,36,36
ds000216,7,7
ds000217,41,615
ds000218,19,57
ds000219,21,78
ds000220,26,66
ds000221,318,624
ds000223,19,78
ds000224,10,171
ds000228,155,155
ds000229,15,44
ds000231,9,27
ds000232,10,160
ds000233,12,120
ds000234,5,5
ds000235,4,4
ds000236,18,18
ds000237,13,77
ds000243,120,203
